Gene name,Mouse gene name
TMX3,Tmx3
TRIM13,Trim13
ETS2,Ets2
KCNRG,Kcnrg
MIR15A,Mir15a
FAM124A,Fam124a
CDH20,Cdh20
ZAR1L,Zar1l
N4BP2L1,N4bp2l1
PTPN2,Ptpn2
KCNJ15,Kcnj15
RFXAP,Rfxap
TRPC4,Trpc4
CRYZL1,Cryzl1
PHLPP1,Phlpp1
CDH19,Cdh19
RNU6-68P,Gm22452
C18orf21,2700062C07Rik
CPB2,Cpb2
N6AMT1,N6amt1
KCTD1,Kctd1
LCP1,Lcp1
SLC39A6,Slc39a6
ADAMTS5,Adamts5
ZBTB14,Zbtb14
SIAH3,Siah3
NALCN,Nalcn
RNU1-139P,Gm23850
MIR155,Mir155
RN7SL740P,Gm22701
GALR1,Galr1
,Gm24698
,Snora3
C2CD2,C2cd2
ZNF521,Zfp521
ADRA1D,Adra1d
IMPACT,Impact
RSPO4,Rspo4
DEFB129,Defb23
ANGPT4,Angpt4
ZBTB21,Zbtb21
SHLD1,Shld1
CBLN2,Cbln2
CCDC168,Ccdc168
TEX30,Tex30
SLX4IP,Slx4ip
CBR1,Cbr1b
CBR1,Cbr1
DEFB125,Defb26
BMP2,Bmp2
CBR3,Cbr3
FAM110A,Fam110a
MBP,Mbp
EVA1C,Eva1c
BIVM,Ercc5
BIVM,Bivm
INSM1,Insm1
DEFB128,Defb20
BTBD3,Btbd3
GAS6,Gas6
NUDT15,Nudt15
CFAP298,Cfap298
MED4,Med4
PCSK2,Pcsk2
SGCG,Sgcg
RBM26,Rbm26
DGKH,Dgkh
ISM1,Ism1
TMEM241,Tmem241
SYNDIG1,Syndig1
TCP10L,Tcp10b
TCP10L,Tcp10a
TCP10L,Tcp10c
XRN2,Xrn2
BTG3,Btg3
SNRPB2,Snrpb2
SUMO3,Sumo3
CST7,Cst7
MRPL39,Mrpl39
APMAP,Apmap
ELP2,Elp2
SUCLA2,Sucla2
BFSP1,Bfsp1
SAMSN1,Samsn1
GGTLC1,Ggt1
DSTN,Dstn
SIM2,Sim2
GPR183,Gpr183
SNORA31,Snora31
SNORA31,Gm24240
STK35,Stk35
ABHD13,Abhd13
ESD,Esd
SCRT2,Scrt2
NCOA6,Ncoa6
RIPPLY3,Ripply3
RNU6-696P,Gm22960
RRP1B,Rrp1b
HTR2A,Htr2a
TDRD3,Tdrd3
PDXK,Pdxk
SPART,Spart
DEFB127,Defb22
SPTLC3,Sptlc3
DEFB115,Defb28
CD226,Cd226
SLC23A2,Slc23a2
STK24,Stk24
PIGN,Pign
CST9L,Cst9
CST9L,Cstdc2
RCBTB2,Rcbtb2
TASP1,Tasp1
WFDC9,Wfdc9
RRP1,Rrp1
MTCL2,Mtcl2
WFDC10A,Wfdc10
PPP1R16B,Ppp1r16b
SLITRK1,Slitrk1
IFT88,Ift88
TMTC4,Tmtc4
DHX35,Dhx35
AGPAT3,Agpat3
EPSTI1,Epsti1
TOX2,Tox2
TNFRSF19,Tnfrsf19
RNU6-1150P,Gm22087
TRAPPC10,Trappc10
EYA2,Eya2
RAB20,Rab20
CARS2,Cars2
PWP2,Pwp2
WFDC11,Wfdc11
DYRK1A,Dyrk1a
RIPOR3,Ripor3
KBTBD6,Kbtbd6
KBTBD6,Kbtbd7
KBTBD7,Kbtbd6
KBTBD7,Kbtbd7
MTRF1,Mtrf1
FAM83D,Fam83d
SLC2A10,Slc2a10
KCNB1,Kcnb1
NAA16,Naa16
CDH22,Cdh22
NCOA3,Ncoa3
RGCC,Rgcc
VWA8,Vwa8
RAP2A,Rap2a
LPAR6,Lpar6
PRDM15,Prdm15
MC3R,Mc3r
NAXD,Naxd
PREX1,Prex1
MOCOS,Mocos
GJA3,Gja3
GJB2,Gjb2
NETO1,Neto1
GJB6,Gjb6
CNDP2,Cndp2
ZMYM2,Zmym2
PTGIS,Ptgis
CBLN4,Cbln4
ATP9A,Atp9a
RALY,Raly
EEF1AKMT1,Eef1akmt1
CNDP1,Cndp1
LATS2,Lats2
PKNOX1,Pknox1
CENPJ,Cenpj
CFAP61,Cfap61
TWSG1,Twsg1
DOK6,Dok6
CBS,Cbs
KIAA1328,AW554918
SHISA2,Shisa2
RXFP2,Rxfp2
RN7SKP72,Gm54931
RNU6-408P,Gm22733
RNU6-408P,Gm25637
SLC17A9,Slc17a9
FRY,Fry
MIR187,Mir187
RNU6-116P,Gm22583
RNU6-567P,Gm26072
RN7SL795P,Gm22701
PIAS2,Pias2
PSMA7,Psma7
MED15,Med15
RBBP8NL,Rbbp8nl
CST3,Cst3
CST3,Cst5
HDHD2,Hdhd2
GID8,Gid8
U2AF1,U2af1
PMEPA1,Pmepa1
Metazoa_SRP,Gm24576
PDS5B,Pds5b
SKOR2,Skor2
EIF2S2,Eif2s2
TGIF1,Tgif1
SOX18,Sox18
SETD4,Setd4
ACSS1,Acss1
UTP14C,Utp14a
UTP14C,Utp14b
INTS6,Ints6
TAF4B,Taf4b
DOK5,Dok5
B4GALT5,B4galt5
PMAIP1,Pmaip1
DSG4,Dsg4
OSM,Osm
SALL4,Sall4
NCF4,Ncf4
SLC19A1,Slc19a1
SCP2D1,Scp2d1
BHLHE23,Bhlhe23
CDH4,Cdh4
CCDC70,Ccdc70
GPR18,Gpr18
DSG3,Dsg3
MTUS2,Mtus2
TTR,Ttr
COL18A1,Col18a1
TNFSF13B,Tnfsf13b
CDH2,Cdh2
NDRG3,Ndrg3
RNF6,Rnf6
CACNA1I,Cacna1i
ATP8A2,Atp8a2
RPS21,Rps21
SS18L1,Ss18l1
SNORD58A,Gm23301
SNORD58B,Snord58b
SNORD58B,Gm22354
LIPG,Lipg
SACS,Sacs
NFATC2,Nfatc2
DYM,Dym
FAM3B,Fam3b
MEX3C,Mex3c
TEX29,Tex29
KCTD12,Kctd12
CLN5,Cln5
,Gm56130
,Gm23451
,Gm24355
,Gm22303
,Gm23455
,Gm55563
,Gm22293
,Gm25188
,Gm22358
,Gm24610
,Gm23404
,Gm56060
,Gm24412
,Gm23406
,Gm55566
,Gm22459
ADAMTS1,Adamts1
SYCP2,Sycp2
ISX,Isx
TCF4,Tcf4
FBXL3,Fbxl3
ENTHD1,Enthd1
LIF,Lif
SERPINE3,Serpine3
CBX7,Cbx7
METTL21C,Mettl21c
MIS18A,Mis18a
ERCC5,Ercc5
ERCC5,Bivm
MRAP,Mrap
PNPLA3,Pnpla3
WDR4,Wdr4
LAMA5,Lama5
EFCAB6,Efcab6
SLC10A2,Slc10a2
IL17D,Il17d
PRKX,Prkx
GGACT,Ggact
ATP11A,Atp11a
NDUFV3,Ndufv3
GABPA,Gabpa
LSM14B,Lsm14b
TBC1D22A,Tbc1d22a
CLIC6,Clic6
AMELX,Amelx
PHACTR3,Phactr3
OXGR1,Oxgr1
TPTE,Tpte
COMMD6,Commd6
SHROOM2,Shroom2
THSD1,Thsd1
VPS36,Vps36
CKAP2,Ckap2
TCEA2,Tcea2
SYNJ1,Synj1
FAM9B,Gm14692
FAM9B,Xlr5c
FAM9B,Xlr5b
FAM9B,Xlr5a
FAM9B,Gm1140
HCCS,Hccs
SUGT1,Sugt1
RPL3,Rpl3
GATA5,Gata5
ZIC2,Zic2
RBL1,Rbl1
FAM9A,Gm14692
FAM9A,Xlr5c
FAM9A,Xlr5b
FAM9A,Xlr5a
FAM9A,Gm1140
ZIC5,Zic5
LNX2,Lnx2
RBM11,Rbm11
SRPX,Srpx
GSX1,Gsx1
RNU6-73P,Gm25453
PDX1,Pdx1
HSPA13,Hspa13
POLR1D,Polr1d
PSMG1,Psmg1
GRPR,Grpr
BEND2,Bend2
EDN3,Edn3
LIG4,Lig4
TMEM47,Tmem47
KLHL34,Klhl34
SMPX,Smpx
GTSE1,Gtse1
CLYBL,Clybl
BRWD1,Brwd1
TRDC,Trdc
ITGBL1,Itgbl1
NUBPL,Nubpl
ADRM1,Adrm1
ADRM1,Adrm1b
CNKSR2,Cnksr2
SAMM50,Samm50
SUPT20H,Supt20
SNX6,Snx6
PHF20,Phf20
TTC38,Ttc38
TRDV3,Trdv5
RNU6-1257P,Gm26065
5_8S_rRNA,Gm55073
RNU1-23P,Gm22177
RNU6-937P,Gm24674
RNU6-639P,Gm22069
RNU6-347P,Gm56054
RNU6-929P,Gm25199
RNU6-929P,Gm22061
TRIOBP,Triobp
MIR133A2,Mir133a-2
RBPJL,Rbpjl
PCNX4,Pcnx4
HMGN1,Hmgn1
SDC4,Sdc4
SYS1,Sys1
SIX1,Six1
PPP2R5E,Ppp2r5e
TP53TG5,Trp53tg5
NPEPL1,Npepl1
PIM3,Pim3
DENND6B,Dennd6b
,Gm56457
,Gm56458
NELFCD,Nelfcd
CERK,Cerk
STYX,Styx-ps
STYX,Styx
NBEA,Nbea
L3HYPDH,L3hypdh
C14orf39,4930447C04Rik
PPP6R2,Ppp6r2
DSCAM,Dscam
SIX6,Six6
SYTL5,Sytl5
SIX4,Six4
TUBB1,Tubb1
ATP5F1E,Atp5f1e
PPM1A,Ppm1a
SETDB2,Setdb2
PRELID3B,Prelid3b
PHF11,Phf11b
PHF11,Phf11d
PHF11,Phf11c
PHF11,Phf11a
CCDC175,Ccdc175
BACE2,Bace2
GDF5,Gdf5
C20orf173,6430550D23Rik
DHRS7,Dhrs7
DHRS7,Dhrs7l
ADGRG2,Adgrg2
FITM2,Fitm2
RIPK4,Ripk4
TTPAL,Ttpal
RCBTB1,Rcbtb1
PCNX1,Pcnx1
SKA3,Ska3
SERINC3,Serinc3
TFF2,Tff2
TFF1,Tff1
TMPRSS3,Tmprss3
MRPL57,Mrpl57
MICU2,Micu2
PKIG,Pkig
RNU6-59P,Gm23229
FGF9,Fgf9
ALG5,Alg5
RTL6,Rtl6
TLDC2,Tldc2
PVALB,Pvalb
OSER1,Oser1
JPH2,Jph2
GPHB5,Gphb5
EXOSC8,Exosc8
UBASH3A,Ubash3a
MNAT1,Mnat1
SRSF6,Srsf6
SYNGR1,Syngr1
RNU6-1251P,Gm24968
IFT52,Ift52
MYBL2,Mybl2
CCDC177,Ccdc177
PDGFB,Pdgfb
ADARB2,Adarb2
DCAF4,Dcaf4
GTSF1L,Gtsf1l
KLF6,Klf6
SIRPB1,Sirpd
SIRPB1,Gm5150
SIRPB1,Sirpb1a
SIRPB1,Sirpb1c
SIRPB1,Sirpb1b
SIRPB1,Sirpa
MPPED1,Mpped1
ATP5F1C,Atp5f1c
ENOX1,Enox1
OTOR,Otor
PKDREJ,Pkdrej
SRXN1,Srxn1
DTD1,Dtd1
ANKRD54,Ankrd54
CCDC122,Ccdc122
RSPH1,Rsph1
LACC1,Lacc1
OSBPL2,Osbpl2
SLC37A1,Slc37a1
LAMP1,Lamp1
JKAMP,Jkamp
JKAMP,Jkampl
GRTP1,Grtp1
ITIH2,Itih2
DCUN1D2,Dcun1d2
PDE9A,Pde9a
RNU1-16P,Gm24626
RNU1-16P,Gm25201
TSPO,Tspo
TMCO3,Tmco3
RHOJ,Rhoj
SOCS4,Socs4
TFDP1,Tfdp1
CCDC3,Ccdc3
KCNH5,Kcnh5
KIN,Kin
ADPRHL1,Adprhl1
SHISAL1,Shisal1
AQP4,Aqp4
SUSD6,Susd6
ACBD7,Acbd7
RPP38,Rpp38
ZC3H13,Zc3h13
ZNRF3,Znrf3
ITIH5,Itih5
NEK5,Nek5
EGLN3,Egln3
ONECUT2,Onecut2
R3HDML,R3hdml
MIR124-3,Mir124a-3
YTHDF1,Ythdf1
NARS1,Nars1
BIRC7,Birc7
XPO4,Xpo4
SPTSSA,Sptssa
MYCBP2,Mycbp2
PLEKHD1,Plekhd1
NKAIN4,Nkain4
MRC1,Mrc1
RN7SKP169,Gm54715
SNORD83A,Gm55357
SNORD83B,Snord83b
LTBP2,Ltbp2
ATP8B1,Atp8b1
ARFGAP1,Arfgap1
RAI2,Rai2
RTCB,Rtcb
MPHOSPH8,Mphosph8
CTPS2,Ctps2
CUBN,Cubn
MIR122,Mir122
ALPK2,Alpk2
PSPC1,Pspc1
WDFY2,Wdfy2
SNORA108,Gm24453
RNU6-219P,Gm23241
RNU6-219P,Gm56093
U8,Gm25369
YWHAH,Ywhah
PTPRM,Ptprm
ASPHD2,Asphd2
SRRD,Srrd
ISCA2,Isca2
S100G,S100g
TFIP11,Tfip11
RNU6-81P,Gm22452
TRDMT1,Trdmt1
H2AP,H2ap
RP2,Rp2
SPATA7,Spata7
TPTE2,Tpte
MBTPS2,Mbtps2
SLC46A3,Slc46a3
RNU6-53P,Gm22491
SCML2,Scml2
POMP,Pomp
CRYBB1,Crybb1
TNFSF11,Tnfsf11
CRYBA4,Cryba4
MINDY3,Mindy3
EFHC2,Efhc2
L3MBTL4,L3mbtl4
TPP2,Tpp2
C1QTNF6,C1qtnf6
MED14,Med14
CHRNA4,Chrna4
SSTR3,Sstr3
ARMC3,Armc3
TMPRSS6,Tmprss6
ALG11,Alg11
ST8SIA5,St8sia5
NUP58,Gm49336
AP5M1,Ap5m1
ARHGAP28,Arhgap28
MKKS,Mkks
CHST7,Chst7
PTK6,Ptk6
SLC35F4,Slc35f4
FNDC11,Fndc11
CLCN5,Clcn5
RNU1-94P,Gm24291
PDRG1,Pdrg1
N4BP2L2,N4bp2l2
BMP4,Bmp4
XKR7,Xkr7
CCM2L,Ccm2l
PLAGL2,Plagl2
PIP4K2A,Pip4k2a
MAPRE1,Mapre1
RELCH,Relch
SRSF5,Srsf5
PROCR,Procr
SPECC1L,Specc1l
C10orf67,4921504E06Rik
MMP24,Mmp24
C1QTNF9,C1qtnf9
PTCHD1,Ptchd1
MALRD1,Malrd1
LRRC63,Lrrc63
SYAP1,Syap1
FAM83C,Fam83c
PCDH20,Pcdh20
SAP18,Sap18
SAP18,Sap18b
ST8SIA6,St8sia6
DSN1,Dsn1
MKX,Mkx
ATP12A,Atp12a
FUT8,Fut8
CDKL5,Cdkl5
ZNF532,Zfp532
GDF2,Gdf2
ODAD2,Odad2
RNF17,Rnf17
ADORA2A,Adora2a
UPB1,Upb1
ARHGEF7,Arhgef7
C18orf32,BC031181
ZBTB46,Zbtb46
ITGA8,Itga8
APCDD1,Apcdd1
GDAP1L1,Gdap1l1
SNRPD3,Snrpd3
NAPG,Napg
SIK1,Sik1
SLC39A12,Slc39a12
LRRC75B,Lrrc75b
HSF2BP,Hsf2bp
NAA30,Naa30
MYL9,Myl9
CLEC14A,Clec14a
TGIF2,Tgif2
DNMT3L,Dnmt3l
GGT1,Ggt1
SOCS6,Socs6
RNU6-120P,Gm23035
,Gm23839
SNRPD1,Snrpd1
ZFAND4,Zfand4
SLA2,Sla2
ABHD3,Abhd3
RGS6,Rgs6
MRPS26,Mrps26
AIRE,Aire
OXT,Oxt
AVP,Avp
FAM236B,Fam236f
FAM236B,Fam236e
NDP,Ndp
UBOX5,Ubox5
KDSR,Kdsr
DYNLT3,Dynlt3
PFKL,Pfkl
DDRGK1,Ddrgk1
MYO3A,Myo3a
AKAP4,Akap4
ITPA,Itpa
VPS4B,Vps4b
MAOB,Maob
SERPINB5,Serpinb5
RNU6-384P,Gm25039
COX4I2,Cox4i2
VSIG4,Vsig4
BCL2,Bcl2
TPX2,Tpx2
ANKRD62,Potegl
ANKRD62,Ankrd48
ANKRD62,Poteg
ANKRD62,Ankrd26
ANKRD62,Gm32916
MSRB2,Msrb2
CFAP410,Cfap410
PTF1A,Ptf1a
CIDEA,Cidea
CDK8,Cdk8
JADE3,Jade3
,Gm22871
,Gm22394
LRRC3,Lrrc3
RNU6-170P,Gm22004
TSPEAR,Tspear
TUBB6,Tubb6
ENKUR,Enkur
DNAJC1,Dnajc1
FOXR2,Foxr2
MYLK2,Mylk2
SLC9A7,Slc9a7
KRTAP10-6,Krtap5-24
KRTAP10-6,Krtap5-2
KRTAP10-6,Krtap5-20
KRTAP10-6,Krtap5-26
KRTAP10-6,Krtap12-21
KRTAP10-6,Krtap12-23
KRTAP10-6,Krtap12-22
KRTAP10-6,Krtap12-20
KRTAP10-6,Krtap12-1
KRTAP10-6,Krtap10-21
KRTAP10-6,Krtap10-4
KRTAP10-6,Krtap10-25
KRTAP10-6,Krtap10-34
KRTAP10-6,Krtap10-31
KRTAP10-6,Krtap10-23
KRTAP10-6,Krtap10-10
KRTAP10-6,Krtap10-29
KRTAP10-6,Krtap10-22
KRTAP10-6,Krtap10-27
KRTAP10-6,Krtap10-26
KRTAP10-6,Krtap10-28
KRTAP10-6,Krtap10-35
KRTAP10-6,Krtap10-24
KRTAP10-6,Krtap10-33
KRTAP10-6,Krtap10-32
KRTAP10-6,Krtap10-30
KRTAP10-6,Gm49918
KRTAP10-11,Krtap5-24
KRTAP10-11,Krtap5-2
KRTAP10-11,Krtap5-20
KRTAP10-11,Krtap5-26
KRTAP10-11,Krtap2-4
KRTAP10-11,Krtap2-22
KRTAP10-11,Krtap2-20
KRTAP10-11,Krtap2-21
KRTAP10-11,Krtap12-21
KRTAP10-11,Krtap12-23
KRTAP10-11,Krtap12-22
KRTAP10-11,Krtap12-20
KRTAP10-11,Krtap12-1
KRTAP10-11,Krtap10-21
KRTAP10-11,Krtap10-4
KRTAP10-11,Krtap10-25
KRTAP10-11,Krtap10-34
KRTAP10-11,Krtap10-31
KRTAP10-11,Krtap10-23
KRTAP10-11,Krtap10-10
KRTAP10-11,Krtap10-29
KRTAP10-11,Krtap10-22
KRTAP10-11,Krtap10-27
KRTAP10-11,Krtap10-26
KRTAP10-11,Krtap10-28
KRTAP10-11,Krtap10-35
KRTAP10-11,Krtap10-24
KRTAP10-11,Krtap10-33
KRTAP10-11,Krtap10-32
KRTAP10-11,Krtap10-30
KRTAP10-11,Gm49918
KRTAP10-11,Krtap9-5
KRTAP10-11,Krtap9-3
KRTAP10-11,Krtap1-3
KRTAP10-11,Krtap1-4
KRTAP12-3,Krtap10-21
KRTAP12-3,Krtap10-4
KRTAP12-3,Krtap10-25
KRTAP12-3,Krtap10-34
KRTAP12-3,Krtap10-31
KRTAP12-3,Krtap10-23
KRTAP12-3,Krtap10-10
KRTAP12-3,Krtap10-29
KRTAP12-3,Krtap10-22
KRTAP12-3,Krtap10-27
KRTAP12-3,Krtap10-26
KRTAP12-3,Krtap10-28
KRTAP12-3,Krtap10-35
KRTAP12-3,Krtap10-24
KRTAP12-3,Krtap10-33
KRTAP12-3,Krtap10-32
KRTAP12-3,Krtap10-30
KRTAP12-3,Gm49918
KRTAP12-2,Krtap10-21
KRTAP12-2,Krtap10-4
KRTAP12-2,Krtap10-25
KRTAP12-2,Krtap10-34
KRTAP12-2,Krtap10-31
KRTAP12-2,Krtap10-23
KRTAP12-2,Krtap10-10
KRTAP12-2,Krtap10-29
KRTAP12-2,Krtap10-22
KRTAP12-2,Krtap10-27
KRTAP12-2,Krtap10-26
KRTAP12-2,Krtap10-28
KRTAP12-2,Krtap10-35
KRTAP12-2,Krtap10-24
KRTAP12-2,Krtap10-33
KRTAP12-2,Krtap10-32
KRTAP12-2,Krtap10-30
KRTAP12-2,Gm49918
KRTAP12-1,Krtap10-21
KRTAP12-1,Krtap10-4
KRTAP12-1,Krtap10-25
KRTAP12-1,Krtap10-34
KRTAP12-1,Krtap10-31
KRTAP12-1,Krtap10-23
KRTAP12-1,Krtap10-10
KRTAP12-1,Krtap10-29
KRTAP12-1,Krtap10-22
KRTAP12-1,Krtap10-27
KRTAP12-1,Krtap10-26
KRTAP12-1,Krtap10-28
KRTAP12-1,Krtap10-35
KRTAP12-1,Krtap10-24
KRTAP12-1,Krtap10-33
KRTAP12-1,Krtap10-32
KRTAP12-1,Krtap10-30
KRTAP12-1,Gm49918
UBE2G2,Ube2g2
PHYHIPL,Phyhipl
TAFA5,Tafa5
FOXS1,Foxs1
BCL2L1,Bcl2l1
CDC16,Cdc16
RBP3,Rbp3
MAPK1,Mapk1
MAGEH1,Mageh1
DGKK,Dgkk
FAM210A,Fam210a
KIZ,Kiz
ARHGAP12,Arhgap12
POFUT2,Pofut2
RNMT,Rnmt
PIR,Pir
MTMR3,Mtmr3
RNU6-192P,Gm25768
OVOL2,Ovol2
PTPN21,Ptpn21
SNORD17,Snord17
EDA2R,Eda2r
MGME1,Mgme1
RN7SKP74,Gm56283
PET117,Pet117
EMILIN2,Emilin2
LAMP5,Lamp5
SYNDIG1L,Syndig1l
CYSLTR1,Cysltr1
PCBP3,Pcbp3
TMX1,Tmx1
UPF3A,Upf3a
MYL12A,Myl12a
PSMF1,Psmf1
ATP6AP2,Atp6ap2
SNPH,Snph
CHAMP1,Champ1
MYL12B,Myl12b
RTRAF,Rtraf
NDFIP2,Ndfip2
SDCBP2,Sdcbp2
DSC3,Dsc3
UBE2D1,Ube2d1
GDF10,Gdf10
AKAP6,Akap6
DSC1,Dsc1
TMPRSS2,Tmprss2
DSG1,Dsg1c
DSG1,Dsg1a
DSG1,Dsg1b
NRP1,Nrp1
DOCK9,Dock9
SNX21,Snx21
PSMA8,Psma8
SSTR1,Sstr1
CEP128,Cep128
MYO18B,Myo18b
ZSWIM3,Zswim3
PLTP,Pltp
PPP4R1,Ppp4r1
PCIF1,Pcif1
MX1,Mx1
MX1,Mx2
ARMH4,Armh4
ZNF335,Zfp335
RCL1,Rcl1
NRDE2,Nrde2
MMP9,Mmp9
NFATC1,Nfatc1
FKBP1A,Fkbp1a
HSPH1,Hsph1
CCDC85C,Ccdc85c
SLC16A2,Slc16a2
BRD10,Brd10
SLC4A11,Slc4a11
